Designator,Mid X,Mid Y,Rotation,Layer
C1,109.0865,-118.574375,90.0,bottom
C10,325.0265,-118.349375,90.0,bottom
C11,313.9265,-139.109375,270.0,bottom
C12,295.38,-138.89,270.0,bottom
C13,275.6,-138.8725,270.0,bottom
C14,257.47,-138.8425,270.0,bottom
C17,141.8,-138.8425,270.0,bottom
C18,121.63,-138.6425,270.0,bottom
C19,160.25,-138.9375,270.0,bottom
C2,125.8765,-118.729375,90.0,bottom
C20,104.71,-139.7775,270.0,bottom
C3,144.9965,-118.509375,90.0,bottom
C4,163.6065,-118.459375,90.0,bottom
C5,184.6565,-118.459375,90.0,bottom
C6,260.4065,-118.554375,90.0,bottom
C7,279.5065,-118.544375,90.0,bottom
C8,298.1065,-118.514375,90.0,bottom
C9,317.4965,-118.554375,90.0,bottom
D1,109.0565,-110.966875,90.0,bottom
D10,339.46525,-110.966875,90.0,bottom
D11,118.49275,-130.424375,90.0,bottom
D12,137.54275,-130.424375,90.0,bottom
D13,156.59275,-130.424375,90.0,bottom
D14,175.64275,-130.424375,90.0,bottom
D17,272.73525,-130.424375,90.0,bottom
D18,291.78525,-130.424375,90.0,bottom
D19,310.83525,-130.424375,90.0,bottom
D2,128.1065,-110.966875,90.0,bottom
D20,329.88525,-130.424375,90.0,bottom
D21,100.2865,-119.255625,180.0,bottom
D22,119.3365,-119.255625,180.0,bottom
D23,138.73025,-119.255625,180.0,bottom
D24,157.4365,-119.255625,180.0,bottom
D25,176.4865,-119.255625,180.0,bottom
D26,254.18525,-119.255625,180.0,bottom
D27,273.23525,-119.255625,180.0,bottom
D28,292.629,-119.255625,180.0,bottom
D29,311.33525,-119.255625,180.0,bottom
D3,147.1565,-110.966875,90.0,bottom
D30,330.38525,-119.255625,180.0,bottom
D31,320.86025,-138.305625,0.0,bottom
D32,301.81025,-138.305625,0.0,bottom
D33,282.76025,-138.305625,0.0,bottom
D34,263.71025,-138.305625,0.0,bottom
D37,166.9615,-138.305625,0.0,bottom
D38,147.9115,-138.305625,0.0,bottom
D39,128.8615,-138.305625,0.0,bottom
D4,166.2065,-110.966875,90.0,bottom
D40,109.8115,-138.305625,0.0,bottom
D5,185.2565,-110.966875,90.0,bottom
D6,263.299,-110.966875,90.0,bottom
D7,282.24525,-110.954375,90.0,bottom
D8,301.30525,-111.184375,90.0,bottom
D9,320.32525,-110.966875,90.0,bottom
J2,207.12525,-108.619375,90.0,top
R1,98.5765,-122.866875,180.0,bottom
SW1,100.2865,-114.493125,0.0,top
SW10,330.4115,-114.493125,0.0,top
SW11,109.8115,-133.543125,0.0,top
SW12,128.8615,-133.543125,0.0,top
SW13,147.9115,-133.543125,0.0,top
SW14,166.9615,-133.543125,0.0,top
SW17,263.7365,-133.543125,0.0,top
SW18,282.7865,-133.543125,0.0,top
SW19,301.8365,-133.543125,0.0,top
SW2,119.3365,-114.493125,0.0,top
SW20,320.8865,-133.543125,0.0,top
SW3,138.3865,-114.493125,0.0,top
SW4,157.4365,-114.493125,0.0,top
SW5,176.4865,-114.493125,0.0,top
SW6,254.2115,-114.493125,0.0,top
SW7,273.2615,-114.493125,0.0,top
SW8,292.3115,-114.493125,0.0,top
SW9,311.3615,-114.493125,0.0,top
